id,date,sender,place,geo_sender,recipient,place,geo_recipient
"desc004/2143","1638-02/1638-03","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Haestrecht, Godefridus van (1593-1659)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229"
"desc004/2136","1638-02","Pollotti, Alfonso (1603-1668)","Den Haag (nl)","52.0799838, 4.3113461","Descartes, René (1596-1650)","?",
"desc004/2137","1638-02-08","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Huygens, Constantijn (1596-1687)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/2138","1638-02-12","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Pollotti, Alfonso (1603-1668)","[Den Haag (nl)]","52.0799838, 4.3113461"
"desc004/2139","1638-02-15","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Plempius, Vopiscus Fortunatus (1601-1671)","[Leuven (be)]","50.879202, 4.7011675"
"desc004/2142","1638-02-22","Descartes, René (1596-1650)","?",,"Deriennes, Jean (1591-1662)","?",
"desc004/2146","1638-03-01","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/2147bis","1638-03/1638-04","Descartes, René (1596-1650)","?",,"Huygens, Constantijn (1596-1687)","?",
"desc004/2147","1638-03-09","Descartes, René (1596-1650)","[Alkmaar (nl)]","52.600853799999996, 4.817099446443963","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/2151","1638-03-23","Descartes, René (1596-1650)","?",,"Ciermans, Johannes (1602-1648)","[Leuven (be)]",
"desc004/2150","1638-03-23","Descartes, René (1596-1650)","?",,"Plempius, Vopiscus Fortunatus (1601-1671)","[Leuven (be)]",
"desc004/2152","1638-03-31","Descartes, René (1596-1650)","?",,"Mersenne, Marin (1588-1648)","[Paris (fr)]",
"desc004/2153","1638-04","Roberval, Gilles Personne de (1602-1675)","Paris (fr)","48.8566969, 2.3514616","Descartes, René (1596-1650)","?",
"desc004/2154","1638-04/1638-05","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Pollotti, Alfonso (1603-1668)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229"
"desc004/2156","1638-05-03","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/2158","1638-05-24","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/2161","1638-06","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Heerewaarden, Fort Voorne (nl)","51.825548749999996, 5.409860880353969"
"huyg001/1841","1638-06-05","Leu de Wilhem, David le (1588-1658)","Den Haag (nl)","52.0799838, 4.3113461","Huygens, Constantijn (1596-1687)","[Heerewaarden, Fort Voorne (nl)]","51.825548749999996, 5.409860880353969"
"huyg001/1860","1638-06-25","Huygens, Constantijn (1596-1687)","Bergen op Zoom (nl)","51.4965864, 4.289740797263708","Puteanus, Erycius (1574-1646)","[Leuven (be)]","50.879202, 4.7011675"
"huyg001/1867","1638-06-30","Huygens, Constantijn (1596-1687)","Bergen op Zoom, Noordgeest (nl)",,"Heinsius, Daniël (1580-1655)","[Leiden (nl)]",
"desc004/3171","1638-08-18","Regius, Henricus (1598-1679)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/3172bis","1638-08-19","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","[Bergen op Zoom (nl)]","51.4965864, 4.289740797263708"
"desc004/3173","1638-08-20","Descartes, René (1596-1650)","?",,"Reneri, Henricus (1593-1639)","?",
"desc004/3176","1638-09-12","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/3188","1638-11/1639-02","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Schooten, Frans van (1615-1660)","?",
